City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
khuzdar,27.74,66.64,28.07,39,22,0.69,PK,1594931982
narsaq,60.92,-46.05,18.0,36,20,3.6,GL,1594931982
tuatapere,-46.13,167.68,0.48,94,40,1.61,NZ,1594931982
tasiilaq,65.61,-37.64,9.0,66,97,6.2,GL,1594931982
yellowknife,62.46,-114.35,19.44,45,75,2.6,CA,1594931982
caravelas,-17.71,-39.25,22.52,74,59,5.23,BR,1594931983
zhanakorgan,43.91,67.25,29.79,24,1,5.36,KZ,1594931983
ilulissat,69.22,-51.1,6.88,68,95,1.25,GL,1594931983
vangaindrano,-23.35,47.6,16.82,77,33,4.71,MG,1594931983
oksfjord,70.24,22.35,16.0,67,88,1.5,NO,1594931983
cabra,37.47,-4.44,30.0,35,0,2.81,ES,1594931922
nago,26.59,127.98,28.0,88,90,3.1,JP,1594931983
hibbing,47.43,-92.94,21.0,73,90,1.5,US,1594931984
kavieng,-2.57,150.8,28.06,69,57,1.22,PG,1594931984
vaitape,-16.52,-151.75,24.79,85,100,7.05,PF,1594931984
pacific grove,36.62,-121.92,22.22,68,40,4.1,US,1594931840
ust-barguzin,53.45,108.98,8.63,85,40,1.35,RU,1594931984
mae ramat,16.98,98.52,23.06,93,100,0.42,TH,1594931985
stanislav,46.57,32.15,21.26,59,100,3.47,UA,1594931985
benton harbor,42.12,-86.45,24.44,73,40,3.6,US,1594931983
alyangula,-13.85,136.42,13.0,93,2,4.41,AU,1594931986
thinadhoo,0.53,72.93,29.09,67,71,1.73,MV,1594931986
odesskoye,54.21,72.97,19.8,69,0,2.28,RU,1594931986
sept-iles,50.2,-66.38,20.0,42,90,6.2,CA,1594931986
aklavik,68.22,-135.01,16.0,67,75,2.6,CA,1594931987
lincoln,40.8,-96.67,30.56,58,40,3.6,US,1594931833
xining,36.62,101.77,12.79,77,32,0.52,CN,1594931794
dunmore town,25.5,-76.65,28.91,73,2,6.13,BS,1594931987
mitu,1.2,-70.17,26.52,91,94,0.89,CO,1594931988
klaksvik,62.23,-6.59,11.0,87,0,5.1,FO,1594931988
hauterive,46.09,3.45,19.0,72,75,2.1,FR,1594931988
noumea,-22.28,166.46,16.0,77,75,0.5,NC,1594931941
harstad,68.8,16.53,15.0,82,100,0.27,NO,1594931988
passo de camaragibe,-9.24,-35.49,25.0,65,40,6.2,BR,1594931989
laurel,39.1,-76.85,30.56,65,75,3.6,US,1594931989
guiglo,6.55,-7.5,21.81,84,100,1.35,CI,1594931989
ugra,54.78,34.33,11.83,92,73,2.17,RU,1594931989
mouila,-1.87,11.06,23.39,78,100,1.25,GA,1594931990
karabuk,41.2,32.63,19.3,78,75,1.02,TR,1594931990
herat,34.5,62.0,24.27,36,0,14.29,AF,1594931990
omsukchan,62.53,155.8,11.17,86,100,4.31,RU,1594931990
edgewater,28.99,-80.9,32.78,62,20,4.1,US,1594931986
port lavaca,28.61,-96.63,35.0,56,75,6.7,US,1594931991
marsa matruh,31.35,27.25,25.0,73,75,7.2,EG,1594931991
monrovia,6.3,-10.8,24.0,94,40,3.22,LR,1594931991
albany,42.6,-73.97,25.56,57,91,0.45,US,1594931716
palauig,15.44,119.9,27.74,74,40,2.28,PH,1594931992
moron,-34.65,-58.62,16.67,49,15,1.69,AR,1594931775
amari,35.23,24.65,25.56,44,0,2.38,GR,1594931992
boli,45.77,130.52,22.1,78,0,1.91,CN,1594931893
gherghesti,46.5,27.52,16.0,93,14,1.0,RO,1594931992
jinhua,29.11,119.65,23.44,92,96,0.78,CN,1594931993
saint george,37.1,-113.58,40.0,12,1,5.7,US,1594931738
meulaboh,4.14,96.13,24.72,90,100,2.09,ID,1594931761
wamba,8.93,8.6,22.08,94,81,1.55,NG,1594931993
kahului,20.89,-156.47,29.0,66,40,9.3,US,1594931715
bethanien,-26.5,17.16,11.32,39,0,4.03,NA,1594931993
camalu,30.85,-116.07,24.44,46,6,3.58,MX,1594931994
batamshinskiy,50.56,58.27,23.0,35,0,3.0,KZ,1594931994
lokosovo,61.13,74.82,13.85,66,0,3.19,RU,1594931994
gilgit,35.92,74.31,24.99,37,68,0.88,PK,1594931950
whitianga,-36.83,175.7,13.33,85,80,4.02,NZ,1594931994
zlobin,45.29,14.65,23.0,56,58,2.37,HR,1594931995
tenenkou,14.46,-4.92,29.7,58,64,5.77,ML,1594931995
talavera de la reina,39.96,-4.83,27.95,27,3,1.7,ES,1594931995
uyuni,-20.46,-66.83,9.98,37,0,2.66,BO,1594931932
tiksi,71.69,128.87,2.88,85,10,8.71,RU,1594931996
santa fe,-31.63,-60.7,18.89,44,0,1.34,AR,1594931996
byron bay,-28.65,153.62,10.56,71,40,3.6,AU,1594931893
misratah,32.38,15.09,25.97,79,0,5.67,LY,1594931997
isangel,-19.55,169.27,20.0,88,17,2.6,VU,1594931997
saskylakh,71.92,114.08,8.36,61,100,9.02,RU,1594931997
dauphin,51.15,-100.05,25.0,47,20,7.2,CA,1594931901
srandakan,-7.94,110.25,23.48,90,4,0.44,ID,1594931959
sistranda,63.73,8.83,15.0,72,75,2.1,NO,1594931997
eyl,7.98,49.82,28.17,58,100,10.75,SO,1594931998
pangody,65.85,74.49,7.33,85,16,2.12,RU,1594931956
sirjan,29.45,55.68,23.01,47,97,3.91,IR,1594931827
ukiah,39.15,-123.21,33.89,35,1,2.1,US,1594931912
guerrero negro,27.98,-114.06,26.37,49,0,7.56,MX,1594931948
charters towers,-20.1,146.27,9.4,51,0,3.41,AU,1594931998
nemuro,43.32,145.57,14.12,89,89,3.05,JP,1594931998
paamiut,61.99,-49.67,7.4,80,17,9.21,GL,1594931999
namtsy,62.72,129.67,14.0,82,72,2.0,RU,1594931999
rensvik,63.1,7.82,15.0,77,90,1.5,NO,1594931999
chunskiy,56.08,99.63,11.4,93,100,3.14,RU,1594931999
laguna,38.42,-121.42,30.0,39,1,2.6,US,1594931999
faya,18.39,42.45,21.0,52,48,5.1,SA,1594931999
porto novo,6.5,2.6,25.0,88,20,3.1,BJ,1594932000
bima,-8.47,118.72,21.18,78,0,0.71,ID,1594932000
mwene-ditu,-7.0,23.45,20.48,36,11,2.65,CD,1594932000
zorgo,12.25,-0.62,26.21,74,29,5.44,BF,1594932000
micheweni,-4.97,39.83,25.0,67,72,8.67,TZ,1594932001
emerald,-23.53,148.17,3.33,58,0,0.89,AU,1594932001
san luis,-33.3,-66.34,15.17,36,51,1.4,AR,1594932001
zyryanka,65.75,150.85,9.97,76,81,3.72,RU,1594931921
villa union,23.2,-106.23,34.0,52,40,5.1,MX,1594932002
krasnoznamensk,55.6,37.04,14.0,93,75,4.0,RU,1594932002
montepuez,-13.13,39.0,15.35,71,11,4.53,MZ,1594932003
san policarpo,12.18,125.51,28.24,77,17,2.72,PH,1594932003
sekondi,4.94,-1.71,23.45,86,93,2.9,GH,1594932003
boa vista,2.82,-60.67,30.0,58,75,5.7,BR,1594931928
havoysund,71.0,24.66,13.0,82,84,0.5,NO,1594932003
tsevie,6.43,1.21,24.0,88,20,4.1,TG,1594932004
zhezkazgan,47.8,67.71,24.76,27,0,7.3,KZ,1594932004
nyurba,63.28,118.33,15.64,77,98,3.13,RU,1594932004
juba,4.85,31.58,21.31,92,85,1.58,SS,1594932004
kuala terengganu,5.33,103.14,25.0,94,20,1.5,MY,1594931982
sinjar,36.32,41.88,31.79,16,0,7.77,IQ,1594932005
shadegan,30.65,48.66,36.0,26,0,5.26,IR,1594932005
shingu,33.73,135.98,21.19,90,100,1.73,JP,1594932005
longyearbyen,78.22,15.64,8.0,81,75,0.5,SJ,1594931948
oktyabrskiy,54.48,53.47,17.43,92,100,1.3,RU,1594932006
suzhou,31.31,120.62,22.22,90,48,3.48,CN,1594932006
kuna,43.49,-116.42,32.78,19,1,4.1,US,1594932006
richmond,37.55,-77.46,33.33,46,40,5.1,US,1594932006
gizo,-8.1,156.84,28.0,77,80,6.88,SB,1594932007
flin flon,54.77,-101.86,20.0,56,75,5.7,CA,1594931904
nchelenge,-9.35,28.73,17.45,56,0,6.22,ZM,1594932007
prince rupert,54.32,-130.32,13.0,93,90,1.5,CA,1594932007
berlevag,70.86,29.09,12.0,100,97,1.0,NO,1594932007
nouakchott,18.09,-15.98,26.0,74,20,4.6,MR,1594931907
martil,35.62,-5.28,23.0,94,40,5.1,MA,1594932008
faanui,-16.48,-151.75,24.32,87,100,7.0,PF,1594932008
sibolga,1.74,98.78,23.93,81,75,1.7,ID,1594931764
abeokuta,7.15,3.35,24.0,94,20,1.5,NG,1594932009
kasongo-lunda,-6.47,16.82,23.2,29,0,0.5,CD,1594932009
ugoofaaru,5.67,73.0,28.55,79,100,4.76,MV,1594932009
mnogovershinnyy,53.94,139.92,15.23,100,100,2.12,RU,1594932009
hualmay,-11.1,-77.61,18.03,71,27,3.85,PE,1594932009
hobyo,5.35,48.53,25.88,74,84,12.55,SO,1594931892
brae,60.4,-1.35,13.0,93,100,5.1,GB,1594932009
altay,47.87,88.12,19.71,39,18,3.93,CN,1594932010
ormara,25.21,64.64,29.64,82,100,5.31,PK,1594932010
rocha,-34.48,-54.33,8.06,81,47,2.26,UY,1594932010
ninghai,29.29,121.42,25.56,99,100,1.34,CN,1594932010
ekhabi,53.51,142.97,14.7,88,100,3.23,RU,1594932011
lahij,13.17,44.58,32.08,39,78,0.45,YE,1594932011
bodden town,19.28,-81.25,33.0,70,20,6.2,KY,1594932011
shenjiamen,29.96,122.3,23.09,90,96,3.74,CN,1594931740
miri,4.41,114.01,24.0,100,40,1.0,MY,1594931885
iqaluit,63.75,-68.51,12.0,54,75,3.6,CA,1594932011
turukhansk,65.82,87.98,7.49,92,0,6.77,RU,1594932012
mayumba,-3.43,10.66,21.85,89,56,1.82,GA,1594932012
ajaccio,42.0,8.92,22.0,73,9,1.5,FR,1594932012
beyneu,45.32,55.2,29.18,22,95,3.47,KZ,1594931746
lata,40.16,-8.33,30.56,38,0,0.89,PT,1594931783
port lincoln,-34.73,135.87,11.65,71,0,3.53,AU,1594931734
salmo,49.2,-117.27,23.89,37,22,3.58,CA,1594932013
jiazi,22.88,116.07,27.72,88,64,4.24,CN,1594932013
batsfjord,70.63,29.72,12.0,93,100,0.5,NO,1594932013
ambon,-3.7,128.18,24.44,16,95,4.56,ID,1594932014
varna,43.22,27.92,21.0,68,23,1.13,BG,1594931883
kargat,55.2,80.28,19.99,94,0,2.58,RU,1594932014
jinchang,38.5,102.17,18.61,50,45,1.32,CN,1594932014
novobirilyussy,56.95,90.67,13.88,95,86,3.15,RU,1594932014
clyde river,70.47,-68.59,19.0,52,75,5.7,CA,1594932015
smithers,54.78,-127.17,16.0,77,75,1.5,CA,1594932015
jalu,29.03,21.55,28.97,39,0,6.19,LY,1594932015
plouzane,48.38,-4.62,16.0,87,90,4.1,FR,1594932015
atmakur,15.88,78.58,23.8,89,88,2.19,IN,1594932015
cayambe,0.05,-78.13,25.0,23,20,4.6,EC,1594932001
hearst,49.68,-83.67,27.51,35,98,5.61,CA,1594932015
ayan,56.45,138.17,12.34,96,99,3.89,RU,1594932016
khasan,42.43,130.64,17.69,95,88,0.13,RU,1594932016
fairbanks,64.84,-147.72,17.0,82,90,0.8,US,1594931863
rimbey,52.63,-114.24,24.0,50,75,5.1,CA,1594932016
hosangadi,13.7,74.95,24.47,90,100,2.42,IN,1594932016
stillwater,36.12,-97.06,31.11,58,1,4.6,US,1594931735
salym,60.06,71.48,17.99,97,2,1.9,RU,1594932017
lagunas,-5.23,-75.68,30.19,61,49,0.95,PE,1594931958
pordim,43.38,24.85,21.0,68,75,3.86,BG,1594932017
amapa,1.0,-52.0,25.68,94,34,0.81,BR,1594932018
vardo,70.37,31.11,13.0,82,57,2.1,NO,1594931794
can,40.03,27.05,23.0,40,0,5.7,TR,1594932018
kanigoro,-8.13,112.22,20.92,92,10,0.81,ID,1594932018
invermere,50.52,-116.04,24.44,43,83,0.89,CA,1594932018
namibe,-15.2,12.15,20.43,58,0,1.85,AO,1594932018
poltavka,54.37,71.76,19.5,68,28,1.71,RU,1594932018
maniago,46.17,12.71,21.11,86,100,1.63,IT,1594932019
muisne,0.6,-80.03,25.3,82,72,3.01,EC,1594932019
tahta,26.77,31.5,28.17,27,0,4.57,EG,1594932019
tabou,4.42,-7.35,23.83,79,82,4.49,CI,1594931902
warangal,18.0,79.58,24.6,83,90,2.65,IN,1594932019
nizhneangarsk,55.78,109.55,8.41,75,50,3.05,RU,1594932019
vila franca do campo,37.72,-25.43,21.0,77,75,4.1,PT,1594931809
berkak,62.83,10.01,13.89,81,61,0.89,NO,1594932020
chengde,40.97,117.94,19.15,79,100,0.88,CN,1594932020
kearney,40.7,-99.08,31.0,62,40,4.6,US,1594931992
olafsvik,64.89,-23.71,9.55,78,99,12.72,IS,1594932020
siniscola,40.57,9.69,23.0,60,10,3.1,IT,1594932021
linxia,35.6,103.21,14.31,71,2,1.8,CN,1594931911
kruisfontein,-34.0,24.73,8.78,55,35,1.69,ZA,1594932021
west plains,36.73,-91.85,34.0,49,75,3.6,US,1594931948
namatanai,-3.67,152.43,26.65,81,78,1.87,PG,1594932022
minbu,20.18,94.88,26.32,79,100,3.77,MM,1594932022
lagoa,39.05,-27.98,20.25,81,100,5.94,PT,1594932023
henties bay,-22.12,14.28,22.78,12,0,1.5,NA,1594931752
bac lieu,9.29,105.72,26.44,83,31,1.07,VN,1594931928
brownwood,31.71,-98.99,38.0,18,1,5.1,US,1594932023
badnawar,23.02,75.22,26.65,80,5,2.93,IN,1594932024
banda aceh,5.56,95.32,26.21,83,80,2.26,ID,1594932024
sakaiminato,35.55,133.23,23.0,83,75,4.6,JP,1594931945
senador guiomard,-10.15,-67.74,32.0,52,40,1.5,BR,1594932024
gigmoto,13.78,124.39,27.36,81,1,2.52,PH,1594932025
richards bay,-28.78,32.04,13.34,77,0,2.24,ZA,1594932025
talen,23.57,76.72,26.7,84,9,2.91,IN,1594932025
gamboma,-1.88,15.86,25.63,69,99,0.82,CG,1594932025
bellmead,31.59,-97.11,38.89,32,5,2.6,US,1594932025
victoria,22.29,114.16,28.33,88,98,6.71,HK,1594931992
raga,8.46,25.68,21.06,94,19,2.16,SS,1594931751
linhares,-19.39,-40.07,19.45,86,78,2.22,BR,1594932026
komsomolskiy,40.43,71.72,28.0,26,20,2.1,UZ,1594931790
vila velha,-20.33,-40.29,22.0,73,40,4.1,BR,1594932027
gogrial,8.53,28.1,23.34,85,87,1.57,SS,1594932027
itoman,26.12,127.67,28.0,94,75,3.6,JP,1594931812
